player_id,player_name,position,team,projected_points,confidence,prev_season_points,prev_season_games,age,overall_rank,position_rank,tier,tier_label
00-0034981,Foster Moreau,TE,NO,137.81679250932805,High,107.80000114440918,11.0,28.3,428.0,40.0,,Deep League
00-0035249,Josh Oliver,TE,MIN,131.092522770712,High,122.29999923706055,12.0,28.4,439.0,41.0,,Deep League
00-0034613,Tanner Hudson,TE,CIN,124.62175161138632,High,204.70000076293945,12.0,30.8,454.0,42.0,,Deep League
00-0033757,Robert Tonyan,TE,KC,122.8066865716035,High,264.5,17.0,31.3,457.0,43.0,,Deep League
00-0035329,Donald Parham,TE,DEN,114.29569419670887,High,76.30000019073486,7.0,28.0,517.0,44.0,,Deep League
00-0036422,Adam Trautman,TE,DEN,112.93176531707896,High,125.4000015258789,16.0,28.6,532.0,45.0,,Deep League
00-0036876,Kylen Granson,TE,IND,112.48809308494423,High,168.50000305473804,15.0,27.4,535.0,46.0,,Deep League
00-0038115,Daniel Bellinger,TE,NYG,111.70568960539016,High,119.0,13.0,24.9,548.0,47.0,,Deep League
00-0037005,Tommy Tremble,TE,CAR,104.38035265234983,High,127.89999961853027,13.0,25.2,562.0,48.0,,Deep League
00-0038547,Luke Schoonmaker,TE,DAL,103.87944325281472,High,55.700000286102295,12.0,26.9,563.0,49.0,,Deep League
00-0039074,Davis Allen,TE,LA,102.53264930266405,Medium,68.30000019073486,5.0,24.6,564.0,50.0,,Deep League
00-0035222,Zach Gentry,TE,LV,96.47798307617362,High,112.5,11.0,29.0,583.0,51.0,,Deep League
00-0039041,Elijah Higgins,TE,ARI,96.12100763728589,High,80.30000114440918,9.0,24.8,585.0,52.0,,Deep League
00-0035631,Drew Sample,TE,CIN,95.60913556480611,High,114.29999923706055,14.0,29.4,588.0,53.0,,Deep League
00-0033439,Pharaoh Brown,TE,SEA,94.06897306080633,Medium,80.29999923706055,9.0,31.3,600.0,54.0,,Deep League
00-0037292,Andrew Ogletree,TE,IND,92.38621119596161,High,66.19999980926514,10.0,27.1,607.0,55.0,,Deep League
00-0038935,Brenton Strange,TE,JAX,91.78414412820192,High,29.0,5.0,24.7,608.0,56.0,,Deep League
00-0037805,Jeremy Ruckert,TE,NYJ,90.21877946048724,High,77.10000038146973,10.0,25.1,612.0,57.0,,Deep League
00-0033455,Anthony Firkser,TE,KC,88.40601736494268,Medium,46.5,8.0,30.5,618.0,58.0,,Deep League
00-0037304,Connor Heyward,TE,PIT,87.93318813566889,High,109.70000076293945,12.0,26.6,620.0,59.0,,Deep League
00-0036628,John Bates,TE,WAS,86.64801595471778,High,87.60000038146973,14.0,27.8,622.0,60.0,,Deep League
00-0036754,Brock Wright,TE,DET,86.09040540651262,High,70.0,9.0,26.8,626.0,61.0,,Deep League
00-0033246,Johnny Mundt,TE,MIN,82.58727323067697,High,90.70000076293945,9.0,30.8,639.0,62.0,,Deep League
00-0034798,Durham Smythe,TE,MIA,79.25710041029288,Medium,192.79999923706055,14.0,30.1,646.0,63.0,,Deep League
00-0038589,Josh Whyle,TE,TEN,78.8192614980554,High,54.90000057220459,8.0,26.0,649.0,64.0,,Deep League
00-0033217,Mo Alie-Cox,TE,IND,78.05808780385941,High,88.60000038146973,13.0,32.0,651.0,65.0,,Deep League
00-0035624,N'Keal Harry,TE,SEA,77.33140033519807,Medium,55.400001525878906,9.0,27.7,653.0,66.0,,Deep League
00-0037475,Stone Smartt,TE,LAC,77.07684118813592,High,66.0,12.0,26.9,655.0,67.0,,Deep League
00-0037282,James Mitchell,TE,DET,75.42144586443597,High,62.80000019073486,8.0,26.1,662.0,68.0,,Deep League
00-0036556,Brevin Jordan,TE,HOU,75.13596650300522,High,124.5,11.0,25.1,665.0,69.0,,Deep League
00-0038394,Will Mallory,TE,IND,75.08752670886878,High,94.70000076293945,11.0,26.2,666.0,70.0,,Deep League
00-0034830,Hayden Hurst,TE,LAC,74.04507490389025,Medium,94.39999961853027,9.0,32.0,667.0,71.0,,Deep League
00-0033387,Jacob Hollister,TE,CAR,74.02419318571526,High,140.39999961853027,14.0,31.8,668.0,72.0,,Deep League
00-0032134,C.J. Uzomah,TE,PHI,72.88201669065569,High,118.70000076293945,12.0,32.6,671.0,73.0,,Deep League
00-0034970,Irv Smith,TE,HOU,71.74106013907416,High,85.5,9.0,27.1,674.0,74.0,,Deep League
00-0031585,MyCole Pruitt,TE,PIT,71.02436213608264,High,54.5,9.0,33.4,676.0,75.0,,Deep League
00-0032141,Geoff Swaim,TE,CLE,69.45161663668217,High,48.40000057220459,7.0,32.0,683.0,76.0,,Deep League
00-0038558,Darnell Washington,TE,PIT,67.88737978368717,High,34.59999990463257,9.0,24.0,687.0,77.0,,Deep League
00-0036232,Harrison Bryant,TE,LV,67.8369550953149,High,117.40000039339066,14.0,27.4,688.0,78.0,,Deep League
